1 4 LEFT;0.8342263187081692 25;0.8399999921705759 48;-0.13960687219425078 78;0.6766004130702433 100;-0.4359913371770137 135;0.8399999274824023 161;-0.7660946401618673 173;0.8399999928463227 198;0.8399985281293262 223;0.8362039796768971 245;0.8399999994219655 271;0.6707935089664856 303;0.7751867115022273 327;0.8399999427276764 356;0.8399999351096719 376;0.8399993314421429 395;0.8399999917067429 421;0.8388426395512193 456;0.8398343999912854 485;0.8399998211879429 523;0.8399633792897288 558;0.8399998091501092 583;0.839983079999751 612
1 2 RIGHT;-0.19638760000000002 7;-0.19638760000000002 7;-0.19638760000000002 7;-0.19638760000000002 7;-0.4345404647082171 82;0.839999999970603 155;0.8396399999963979 258;0.8363999999999998 351;0.8399977394557913 439;0.8399978322442367 525;0.8399999999999997 613;0.8399343754824338 697;0.8370807594085887 793;0.8396036399999999 884;0.8399999999999999 980;0.8399999999999999 1071;0.839999999999584 1160;0.7875119999999971 1246;0.8399850959999927 1341;0.8399999714119637 1382;0.8399999994938928 1415;0.8399999999705837 1452;0.8399999997578489 1479
1 3 RIGHT;-0.18500479600000003 6;-0.18500479600000003 6;-0.24790963573674232 19;-0.24790963573674232 19;-0.43580186736858 39;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.727203370576355 46;-0.8782302050794992 74;-0.8782302050794992 74;-0.8782302050794992 74;-0.8782302050794992 74
3 2 RIGHT;0.9199999990928 107;0.919996399964 227;0.9199999999999999 347;0.9199999999999999 484;-0.8440000000000001 485;0.919675999999996 502;0.9199999999999999 517;0.9199967599999676 538;0.91999283926952 559;0.919999999993452 581;0.9199996399999953 604;0.9199999999999999 630;0.9199639999999999 650;0.9199999999999927 665;0.9199999999999999 684;0.9199999999999999 709;0.9199999999999999 736;0.9199999999999964 753;0.9199999999993519 772;0.9199999999999999 861;0.9199999999999999 946;0.919999999964 1037;0.919999999999993 1128
1 2 LEFT;0.7599948337088953 19;0.7567632399482029 45;0.7599811413252138 64;0.7599999999999998 133;-0.43010199994250453 170;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.7237476308959478 179;-0.8680027418387317 204;-0.8680027418387317 204;-0.8680027418387317 204;-0.8680027418387317 204
1 4 UP;-0.22000000000000003 5;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61;-0.8780802624400005 61
3 3 RIGHT;0.95999999999928 206;0.96 410;0.648408565531638 615;0.96 781;0.959999964 886;0.96 1036;0.96 1229;0.96 1431;0.9599999999999999 1635;0.9599999999999927 1836;0.96 2034;0.96 2242;0.96 2431;0.96 2633;0.96 2830;0.96 3034;0.96 3245;0.959928 3442;0.96 3638;0.96 3763;0.96 3981;0.96 4213;0.96 4451
1 3 LEFT;-0.21409992400000005 4;-0.21409992400000005 4;0.7189395712236503 7;0.7196385237450897 63;-0.4365181304758006 86;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.7204032855778215 94;-0.8650076213083476 120;-0.8650076213083476 120;-0.8650076213083476 120;-0.8650076213083476 120
1 3 UP;-0.18400000000000002 4;-0.18400000000000002 4;-0.22000000000000003 5;-0.22000000000000003 5;-0.4359999999999999 11;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.7203715730655323 18;-0.8643715730655325 22;-0.8643715730655325 22;-0.8643715730655325 22;-0.8643715730655325 22
1 1 RIGHT;-0.18702688000000003 6;-0.18702688000000003 6;-0.18702688000000003 6;-0.18702688000000003 6;-0.4326437139187618 86;0.7999999587632516 137;0.7967599306398064 207;0.7999999639999988 275;0.7999164405839514 336;0.7997725531150391 404;0.7999999999987355 474;0.7882427924484557 531;0.7999416693545989 602;0.7960730479904077 671;0.7999999999999996 742;0.7999999999999992 809;0.7999999445645157 871;0.7999999998883414 935;0.7970256799874258 1005;-0.8762184123492449 1032;-0.8762184123492449 1032;-0.8762184123492449 1032;-0.8762184123492449 1032
1 2 UP;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.22000000000000003 5;-0.4359999999999999 11;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.7240000000000001 19;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
