1 2 RIGHT;0.8399999971244219 24;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57;-0.9760031175707928 57
1 4 LEFT;0.8399999735581218 30;-0.9406788864971336 66;0.6813971303282111 95;0.8399999855873126 118;0.8398696212703555 146;0.8349983550752785 171;0.8367632399745263 194;0.7875087815560718 215;0.8399956941316851 237;0.8399992826465037 259;0.8399830799999048 283;0.8391215662494391 306;0.8397135584856573 326;0.8394692465338495 344;0.7875119985670269 368;0.8398485742879728 386;0.829449895391442 400;0.8399997732288035 425;-0.8520000857613192 451;0.8399999943598958 472;0.8361015262586549 491;0.8399999999998867 518;0.8397929243311872 541
1 3 RIGHT;-0.14479600000000004 4;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41;-0.9760000000000001 41
3 2 RIGHT;0.9199287199999999 94;-0.6580480359731375 141;0.9199639999999999 261;0.9199999999999999 381;0.9199999999999999 496;0.9199999999999999 614;0.9199999999999999 747;0.9199922239987338 868;0.9199999999999999 992;0.9199999999999999 1106;0.9199999999999999 1232;0.9199999999999999 1363;0.9199999999999999 1483;0.91999957556 1605;0.919979911999964 1734;0.9199999999999999 1868;0.9199999920788448 1988;0.9199999999999999 2110;0.919999999999637 2224;0.9199999999999999 2356;0.9199999999996399 2491;0.9199999999999999 2611;0.9199999999999999 2751
1 4 UP;-0.18400000000000002 4;-0.9400000000000003 25;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 2 LEFT;-0.14440000000000003 2;-0.9752023951871005 48;0.7599995286758042 63;0.7563404615578323 88;0.7599999912409017 110;0.7470399998631416 138;0.7599975789801963 156;0.7599999771545418 178;0.759999998150629 211;0.7599988912605466 247;0.7599690276437484 274;0.759927282502676 305;0.7593838744353926 327;0.7596351759500781 357;0.7597445155339563 385;0.7599201780584806 409;0.7599931363946608 437;0.7599999377383337 462;0.7588592316467527 486;0.7599999022384484 509;0.7563070713082063 544;0.7528681652973277 566;0.7570829155678482 589
3 3 RIGHT;0.9599999927999999 209;0.9582521999999992 216;0.96 440;0.96 653;0.96 865;0.96 1083;0.96 1317;0.9599999927999988 1538;0.96 1745;0.96 1959;0.96 2172;0.96 2385;0.96 2608;0.9599999999964 2834;0.959999999928 3042;0.96 3261;0.96 3479;0.96 3696;0.96 3919;0.96 4132;0.96 4347;0.96 4566;0.96 4789
1 1 RIGHT;-0.15487924 5;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35;-0.9760564268810965 35
1 3 UP;-0.14800000000000002 3;-0.9400000000000003 25;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 3 LEFT;-0.14440000000000003 2;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49;-0.9680379025707455 49
