1 4 LEFT;0.8399999996040042 25;0.8399993519999985 41;-0.2605556772976001 57;0.8391484006463964 81;0.8270396224849887 113;0.7874983269455036 137;0.8399999999999982 159;0.836054380823807 205;0.8399936686083362 224;0.8399655688252681 249;0.8399968495107047 269;0.83287199304908 291;0.8399999999999993 312;0.8399999989664857 330;0.8391135572723895 358;0.8395280541479999 386;0.8399997368342077 406;0.7101360168454888 433;0.839999999755923 454;-0.8521615497095667 478;0.8399999999981888 502;0.8363999970336631 530;0.8399999951795452 559
1 2 RIGHT;0.8399999941478409 26;0.8399999999999963 106;-0.4445832572923044 197;0.8399135286582031 227;0.838819258250887 257;0.8399999298523892 295;0.8399999999999993 312;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358;-1.0154496679582228 358
1 3 RIGHT;-0.15127600000000002 4;-0.15127600000000002 4;-0.7475415243361421 8;-0.9435511461224584 20;-0.9435511461224584 20;-0.9435511461224584 20;-0.9435511461224584 20;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47;-1.013820712898634 47
3 2 RIGHT;0.9199999999999999 91;-0.8440000000000001 92;-0.8440000000000001 92;0.9199999675985979 152;0.9199999999999999 252;0.9199999999999999 343;0.9199999999999999 460;0.9199999999999998 577;0.9199999999999999 702;0.9199799119963348 827;0.9199999999993516 959;0.9199999999999999 1085;0.9199999999999999 1214;0.9199999999999999 1333;0.9199999639999997 1450;0.9199999999999999 1568;0.9199999999999999 1693;0.9199999999895995 1810;0.9199999999999999 1935;0.9199999999999999 2057;0.9199027999999999 2178;0.9196399999999999 2294;0.9199999967599999 2411
1 4 UP;-0.9835479405400005 69;-0.9835479405400005 69;-0.9835479405400005 69;-0.9835479405400005 69;-0.9835479405400005 69;-0.9835479405400005 69;-0.9835479405400005 69;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71;-1.0555479405400006 71
1 2 LEFT;-0.18494284000000002 4;-0.18494284000000002 4;-0.4361202104339852 26;-0.9036665307376917 41;-0.9036665307376917 41;-0.9036665307376917 41;-0.9036665307376917 41;0.756132234050121 72;0.7599999956850865 103;0.7596218015708822 130;0.759315778263265 162;0.7570839804844715 181;0.7383564510298126 207;0.7599951840408785 231;0.7576367648508296 261;0.7563498484747333 296;0.7599643599983992 336;0.7599983127040253 354;0.7599999999822882 380;0.7599999969039288 415;0.7599992864821828 447;0.7594588647898884 475;0.7590275280635603 498
3 3 RIGHT;0.96 184;0.96 345;0.95999927998506 459;0.96 596;0.96 831;0.96 1055;0.96 1295;0.96 1435;0.96 1652;0.9599999927999999 1868;0.96 2079;0.96 2300;0.96 2514;0.96 2735;0.96 2960;0.96 3172;0.96 3381;0.959279999997081 3601;0.96 3815;0.96 4032;0.9599996399999999 4248;0.96 4465;0.959999999928 4686
1 1 RIGHT;-0.21773268400000004 6;0.7999999996101336 68;-0.4360018853603398 143;-0.939865692674534 159;-0.939865692674534 159;-0.939865692674534 159;-0.939865692674534 159;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165;-1.0086944544726393 165
1 3 LEFT;-0.15483964 3;-0.15483964 3;-0.43776917643756114 26;-0.895226148449343 41;-0.895226148449343 41;-0.895226148449343 41;-0.895226148449343 41;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90;-1.0147310795860722 90
1 3 UP;-0.14800000000000002 3;-0.14800000000000002 3;-0.42947595614750816 10;-0.8974759561475085 23;-0.8974759561475085 23;-0.8974759561475085 23;-0.8974759561475085 23;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27;-1.0414759561475087 27
1 2 UP;-0.18400000000000002 4;-0.18400000000000002 4;-0.4359999999999999 11;-0.939052836053276 24;-0.939052836053276 24;-0.939052836053276 24;-0.939052836053276 24;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26;-1.0384336441380855 26
