1 2 RIGHT;-0.7948233010552239 19;0.20077205341133428 26;-0.07904954100118833 28;0.3105385202612715 35;0.3611189921825065 36;0.4327129385160937 37;0.4742770158939052 40;0.5023832169961291 54;0.43324311251146863 58;0.4211643386585935 61;0.42834925657414874 68;0.4912257843561278 71;0.5392166382523369 75;0.543787714774948 79;0.546461324390244 82;0.2451891285920997 89;0.5188666145642089 94;0.5452453507767016 99;0.524633811123555 103;0.5261216692274109 106;0.5260447820361503 114
1 4 LEFT;-0.1379045140393511 23;0.35036468520211417 33;0.24144452433250838 56;0.3020985834108376 70;0.4777036881395256 86;0.5041906848038278 105;0.4769392919745887 124;0.5309899675304937 150;0.5167979012111225 159;0.6558564252722253 181;0.44201922792479587 200;0.6583630260063825 214;0.4595221016407675 231;0.33855948213675446 250;0.47510257957175517 273;0.5547698317386281 297;0.5281143806299182 319;0.5285737805642843 334;0.5195542187148139 346;0.4488640559960248 362;0.5196819408100287 378
1 3 RIGHT;-0.33550350223316383 18;0.11351589465652698 21;-0.2845373439687239 32;-0.9226601709958164 34;0.05165555501633774 37;0.20142580186815173 42;-0.011878297402899474 47;0.3773360312012597 55;0.4280788984307114 56;0.20289236002294878 59;0.3206642547522197 64;0.457797931063611 65;0.3978446133517156 68;0.1316588129498062 74;0.34303744219705257 79;0.47321264103182975 83;0.4384934556485197 89;0.4384934556485197 89;0.3960976201223425 93;0.2905777151416229 98;0.4051319161006251 100
1 2 LEFT;-0.22513256147805272 23;0.4731703475904883 66;0.6218431309625746 91;0.645617592158119 131;0.5908789836588108 179;0.6582480229593632 227;0.6447060827491461 274;0.5957146830374471 317;0.6189032044808419 364;0.633100934341029 415;0.6336885376269974 469;0.6357721343581728 508;0.6376833524271599 545;0.6477336450569364 592;0.6562038357589332 643;0.6399624740777866 707;0.6483993640243052 752;0.6139679112407583 816;0.6333280447443308 865;0.648245510270581 906;0.643184168253134 946
3 2 RIGHT;0.9197877070712536 60;0.7610836613709298 170;0.9124479976472247 270;0.480124562935878 371;0.8966749523520136 482;0.8979298730098348 593;0.8837357305941295 703;0.8361777305283449 801;0.8942414503658391 922;0.8841665638313498 1028;0.8949620047830531 1137;0.8870355356418848 1249;0.8776161536319103 1361;0.8974863527387038 1473;0.8811044162471886 1585;0.9104485928292381 1710;0.8718083381198102 1827;0.8731796974062874 1937;0.8769977869687802 2069;0.8423200222749903 2195;0.8327335910642969 2321
1 4 UP;-0.6516535935369445 8;-0.9624685529821012 11;-0.002230501448780342 19;-0.32892489516830503 28;0.04646092530644577 30;-0.47901520204379067 36;0.2796262788525534 38;0.44781872175413523 46;0.4797168566804955 48;-0.10422669316235111 61;0.29869101764717554 63;0.26934502011706696 66;-0.2777903451667364 71;0.21313640604935793 75;0.393871278322497 80;0.4401572194304069 82;0.08829566906373948 88;0.2514096386520719 89;0.39458364861994843 91;0.3289665852931465 106;0.39234893018906614 108
1 1 RIGHT;-0.11435464116207514 14;0.363974468691182 24;0.44377378015953706 25;0.47386782228335167 35;0.48280984524989534 40;0.5797285619612915 45;0.5906045116526148 52;0.537957030145215 64;0.5743715513337267 76;0.5867145328116407 86;0.5577429058434192 93;0.5715119511795784 97;0.5835250538198442 106;0.5842224999843667 112;0.6084763851733336 116;0.589940758245991 127;0.580628128165672 133;0.5623614411393537 149;0.572926650029282 156;0.5792590742194045 158;0.5787725741327966 160
3 3 RIGHT;0.9599826668992342 80;0.750384018189209 184;0.9492481381475469 309;0.9585427838178376 426;0.9563296817634583 560;0.928629690736787 704;0.9599976890104382 830;0.8839542863401805 964;0.9491266514199708 1103;0.9591991611846206 1237;0.9598847857572653 1375;0.9561959695895782 1525;0.9540208086715334 1666;0.9567684553147197 1809;0.9585986745605549 1950;0.9598286815216008 2081;0.9585610666096179 2215;0.9572246615978947 2348;0.9584600462517302 2486;0.9587593994623403 2625;0.9546802311867435 2767
1 3 LEFT;-0.20940788405258853 18;0.4432157954775923 41;0.48871454444340323 53;0.5145983846589817 78;0.5432017950071142 106;0.5906862454448975 129;0.5743203574896089 158;0.569137374942844 190;0.5237658286904614 210;0.5674258291895327 237;0.5608524109436107 274;0.5896089360198602 297;0.5880623753167321 312;0.5007152381937325 347;0.6092485189221257 382;0.5641626372872668 426;0.6089435786805489 457;0.5752205317782002 492;0.5634131222704758 521;0.5848653854806373 543;0.5899175020510097 571
1 3 UP;-0.27708286110766117 9;0.015343622629102632 32;-0.1050123388702845 43;0.2790177190712151 45;0.4352046785187328 50;0.4710896194896884 54;0.5074545136093644 59;0.48322013010507625 71;0.48322013010507625 71;0.6289358742348126 75;0.4720520832048436 87;0.6327024086929125 92;0.6246760501056576 95;0.35690352945032566 109;0.5083495089287473 114;0.5349003895476026 117;0.5201968485252438 120;0.5331496866025424 122;0.4896730802158276 124;0.49942674385594754 125;0.4827976287334447 127
1 2 UP;-0.31096605630725477 15;0.3118416090178701 42;0.15626668623684897 48;0.5428164172197921 55;0.49088338920465235 63;0.550699898599155 66;0.5196134720372869 74;0.5426300839806111 86;0.5288698651479452 91;0.5774684605717121 97;0.5031953942399842 105;0.5646486560195537 110;0.5918737744586392 114;0.6028237451441579 121;0.6151334017379257 126;0.6076062437959109 128;0.5487334164987391 132;0.5655054596190567 138;0.5573727929550183 140;0.567723528526064 141;0.5851326124120733 143
