1 4 LEFT;-0.006534250681112273 13;0.27047620857390253 22;0.4938854084377947 35;0.6839270413720682 49;0.7102203383727066 66;0.46681808354086024 76;0.522300380676767 90;0.500066348162829 105;0.5771598771988232 123;0.5576594756467326 144;0.7359011454991194 166;0.5404796552063669 192;0.5415942770214442 217;0.5287130472169261 231;0.43209154896131413 250;0.6609026783692467 270;0.5270520250708636 290;0.5258786895044179 305;0.48508715606647135 320;0.5150748453196086 337;0.47630265833003566 358
1 2 RIGHT;0.019168387992701333 13;0.21752446059031616 18;0.44271110791978335 21;0.44821689408766907 22;0.4851425429311673 25;0.46497574935989805 31;0.47450438099752634 34;0.5113139681249977 35;0.47505230741666465 40;0.47505230741666465 40;0.7012696798245089 49;0.5513859564259753 60;0.5567038936866309 66;0.24176655674072178 67;0.28670818745717763 70;0.3355212434573235 71;0.49874768939571085 75;0.508056444118865 83;0.4195784471853058 86;0.5144037083282255 92;0.5197627921454305 97
1 3 RIGHT;-0.1915562443571981 11;0.2702086706334381 13;0.14914352417642374 18;0.5042699423408117 22;-0.22660454727835694 27;0.4337988387117695 31;0.4226510526074347 34;0.4226510526074347 34;0.4492802974931578 39;0.5531218099580698 43;0.5545466037213146 45;-0.3593607741172561 51;-0.06466451389977829 59;0.36734601935847794 62;0.43246980879082697 66;0.42402867449873677 68;0.3429691729952379 71;0.4248291359992095 73;0.44173576724587865 74;-0.1716773501965257 79;-0.39782188499324467 81
3 2 RIGHT;0.915372135776249 78;0.4456728160600846 166;0.9001852127582415 272;0.8755960302043418 387;0.874778219628933 479;0.866009164401134 599;0.8964332361357729 724;0.894897916264601 846;0.8643982937885062 958;0.8691465476340843 1076;0.8810351251621542 1185;0.856710220260544 1296;0.8662736259643873 1418;0.8395338179127436 1538;0.8886053139797564 1662;0.8906421638520372 1776;0.8724871797487572 1902;0.8582628544951428 2018;0.8526649439231409 2140;0.8885314162113149 2250;0.8806387462076859 2370
1 2 LEFT;0.041865854618785114 46;0.4482405611161194 97;0.6427908654735104 132;0.6378741955495807 181;0.5440929604476957 222;0.587758181594182 283;0.6283245820837161 334;0.6485544111448402 383;0.6532424547211625 428;0.6501878010705937 481;0.6306243703164893 508;0.6526286432461114 546;0.6482415560334178 595;0.6372239229958089 635;0.6090416335034451 691;0.6290257975202811 733;0.6383500559624364 778;0.6338826574801406 835;0.6287011114071114 882;0.6212748830467913 926;0.6208091593878234 987
1 4 UP;-0.10966644431863462 9;-0.10966644431863462 9;-0.5342001726175585 12;0.582810550479063 14;-0.13637347220850266 29;-0.13637347220850266 29;-0.13637347220850266 29;-0.13637347220850266 29;0.36221905229029155 30;0.5149153852957519 35;0.5149153852957519 35;0.4946476827086119 38;0.08792176152099451 44;0.08792176152099451 44;0.24451221512156607 46;0.3410899213475219 47;0.49799427107933014 48;0.47791755708202105 50;0.4614597428756001 51;0.4298387291988328 53;0.4606947123367457 55
3 3 RIGHT;0.96 78;0.96 162;0.96 290;0.9599999983212977 417;0.9599988276654445 538;0.9599864475964716 653;0.9599995934072438 782;0.9599038554153432 922;0.9532132570889597 1074;0.9574190400592337 1211;0.959013784587319 1363;0.9597630575543502 1492;0.9593953600389096 1626;0.9509045774586032 1753;0.9588574460392646 1885;0.9590449503004949 2035;0.9588329354852148 2179;0.953496896318998 2304;0.9527455323552847 2450;0.9583204683844428 2588;0.9569736600825519 2717
1 1 RIGHT;0.09290767615654774 21;0.3490936237889819 34;0.5309791686699157 37;0.5692748256036385 41;0.5310847234161574 45;0.5209653065889219 52;0.5875517574952135 58;0.5458026021541776 63;0.47853599790079254 72;0.6008742345256767 78;0.6188561333951217 86;0.6431986194139604 92;0.614463557602227 96;0.6085906223468711 99;0.5874183332018855 105;0.5710130257696309 110;0.5837430304278761 115;0.596822545189341 125;0.6033378065428144 129;0.5878978233743194 133;0.5790401236315648 141
1 3 LEFT;0.004042244914863324 25;0.32010936346467084 52;0.5356910567054722 74;0.5825137259040593 98;0.5059316820950722 126;0.5175872837759992 166;0.5588641658951718 205;0.5844395872207728 232;0.6024042616867421 258;0.5935993346129584 289;0.5942706314606548 301;0.6008620085062694 328;0.605884304504939 366;0.5917478104942471 386;0.5310556873589244 422;0.549741115815303 438;0.5796070898861425 466;0.5626021695484024 503;0.5765813052795427 531;0.5673728920463432 558;0.5708345485556231 597
1 3 UP;-0.3220314854166215 13;0.18683511853156143 19;0.18683511853156143 19;0.523701514557568 21;0.6834652015817764 26;0.4887394447549262 37;0.4859378518214151 43;0.5196647997733724 48;0.3613238540986703 53;0.3334917495686458 54;0.5591741189207087 58;0.5698472719831771 71;0.5207246391581403 74;0.5391616034486446 75;0.4934740492594684 79;0.6661021855950581 87;0.5069419983350343 92;0.42642640938511467 93;0.49400143369260946 95;0.5177927930201427 98;0.5271303480774694 100
1 2 UP;0.08271029153643619 27;0.38119070798465465 38;0.5024635347553181 44;0.5755920576811479 54;0.5119439107138318 59;0.5456062630064884 66;0.5692482307413312 72;0.5868276009758381 75;0.6037577022526338 79;0.6081436333013731 87;0.6004752148081717 88;0.5949547715517135 94;0.6052413959674872 97;0.6026974819010965 99;0.552028577223766 104;0.567785956629219 106;0.5648752038022847 108;0.5920596731767526 115;0.5740863382444595 118;0.5765932714203325 123;0.5658377394349229 127
