1 4 LEFT;0.6857897729002915 20;0.7409520495540007 43;0.4926991548044907 59;0.6385670835392694 78;0.5212701046760999 91;0.450961029300852 106;0.6304221947611632 129;0.5293382745712766 147;0.4587588622998242 169;0.5747594682237844 183;0.3909485203778685 196;0.5251845860759171 216;0.4581291709368748 233;0.5137381405073227 242;0.5124462994178747 252;0.41775674143998637 268;0.5124476236677862 288;0.38273022547437857 300;0.48996912825732875 313;0.3013489141356663 328;0.5374184979820098 350
1 2 RIGHT;-0.43733316645948833 25;-0.3868315874189009 46;0.25611697395307653 48;0.35249425563808584 54;0.35249425563808584 54;0.23096630345864488 58;0.4782286299171298 61;0.41882597906513835 66;0.4158888046357777 73;0.07614493416386525 77;0.3477650742553057 79;0.5249960162457042 86;0.42219738598462453 89;0.4011989081928305 91;0.48655400820473543 93;0.5136063984702498 97;0.41851281060799683 102;0.5043488749297748 105;0.5009522895967424 110;0.5069159479223808 118;0.5071526481971028 128
1 3 RIGHT;0.16092807041331178 15;-0.7037835853746662 27;0.02738561121633477 29;0.38143992156943146 34;0.4801846323245259 38;-0.8500689524570104 44;0.41539505067310095 47;0.1985968118110274 49;0.3873453792975938 55;0.22605121006939063 59;0.3825924311988546 61;0.2288590450906818 65;0.3283223293919839 71;-0.2383834747840089 75;0.3495395554382317 78;0.017695210359804592 84;0.32975314049810245 89;-0.24393467628993898 92;0.11446905779469274 94;0.20743262844844224 98;0.4232975834820151 103
3 2 RIGHT;0.9151656571012965 66;0.8974307372144641 157;0.8420023815205993 263;0.9063869713548346 370;0.8253163880226584 485;0.8944668304574773 603;0.8429981993625206 719;0.7928448312256718 836;0.8715358859686251 950;0.8800937918395476 1085;0.8838949750177755 1211;0.862975805462972 1333;0.8780083437823432 1450;0.8900175947650095 1569;0.8774129675676453 1694;0.8799401287738738 1816;0.8745906508316931 1931;0.8786521438523027 2051;0.879249609670939 2168;0.8789962500945255 2285;0.8550087729659575 2391
1 2 LEFT;0.5489786951405125 24;0.6098476354967883 41;0.5794495088064896 80;0.5981752273338845 127;0.6070187501484781 166;0.638752170709192 212;0.639340658145165 248;0.6169440647283524 300;0.6232878001138952 349;0.6618562314235498 390;0.6452241488225662 440;0.6788712167913667 490;0.6425852928750548 539;0.6276131308651968 584;0.6275843287315138 633;0.6290363316889269 688;0.6455323951406206 726;0.6465049581378025 763;0.6489196681770573 817;0.6333664027079252 865;0.6279079871383281 903
1 4 UP;-0.8735831993072439 6;0.33955358104937483 11;0.1763068636285015 20;0.29621486768000993 23;-0.6697649796240691 31;-0.6697649796240691 31;0.5501805755998156 34;0.4663758768006213 40;0.3727561864276768 46;-0.40087589849743444 51;-0.40087589849743444 51;-0.40087589849743444 51;-0.40087589849743444 51;-0.40087589849743444 51;0.07481428976805482 52;0.07481428976805482 52;0.2412889136748776 53;-0.03511723863316274 55;0.14965331261660691 56;-0.33658354502498666 59;0.06654880356636761 62
3 3 RIGHT;0.959999999961304 93;0.9599999972485959 247;0.9599999999842453 375;0.959484417764707 502;0.9599674136863506 639;0.9599804823592033 787;0.9587151190372104 931;0.9563117578578328 1062;0.9593003678856221 1190;0.9599990151985451 1331;0.959086172610585 1470;0.9519619454539947 1614;0.9572311638908055 1746;0.9569358973646307 1885;0.9569021379090185 2018;0.9593694603922337 2146;0.924727795832464 2297;0.9589415528275689 2437;0.9578473465311623 2568;0.9541769988075627 2701;0.9568349870749432 2849
1 1 RIGHT;0.006839797411736896 14;0.3667939796863635 20;0.5783764327573301 24;0.46994010281156035 28;0.49233824081351835 35;0.5371109542650081 46;0.5403227041748512 52;0.5544034960894701 57;0.5817001567172627 60;0.5862882082784401 62;0.5871678053259823 65;0.6095287230876391 68;0.4750996188027325 70;0.5645391585130111 81;0.5111555706563904 90;0.5849259730843853 100;0.5895041692012325 103;0.5967425535377715 108;0.5867894123605738 111;0.5803181354982715 118;0.5515001462425804 125
1 3 LEFT;0.13282951798981255 20;0.10958639513196816 33;0.5792817257741262 54;0.47512570507968105 85;0.5620905955429114 102;0.5593720747317684 130;0.5453204365429636 151;0.5771427880169873 186;0.5707658238149953 222;0.597616898271673 248;0.5945953012052211 273;0.6162520926897457 311;0.6008778327369416 347;0.5440325498615722 367;0.5774041915871803 398;0.5768883755005251 431;0.3881163778412835 452;0.5531503300118209 467;0.6085493509756139 501;0.5601053636712737 533;0.5610570074142374 561
1 3 UP;-0.10942650141486251 6;0.15071621264882284 33;0.32806111767089385 38;0.3994338240073716 41;0.532917241922156 44;0.22365800577772463 56;0.41628245082554494 59;0.42697599036280126 60;0.420790349252842 64;0.4878170015488528 68;0.47429723867200413 72;0.28485221761898905 81;0.4861433189696401 87;0.4542533745533244 89;0.48701077019090677 90;0.47504096689552505 95;0.5309923890400626 100;0.43962555287477867 109;0.5075942329616838 115;0.5516938998352525 118;0.5034107476450032 131
3 2 LEFT;0.7611623000137644 24;0.7537244194699817 37;0.7541179582393485 54;0.7538260735149244 73;0.7439579263886585 85;0.7819068206715682 93;0.7673072950849689 103;0.7775088301359029 114;0.7421292560116245 124;0.7566973942626173 136;0.7607274668383358 139;0.7824329118621272 144;0.7199546053663481 156;0.7509003847522497 173;0.7524847267040193 181;0.7498888189386658 191;0.7694200926251238 200;0.7891942906589037 214;0.7405338778314857 224;0.7390364293476724 232;0.7706750967819027 236
1 2 UP;-0.2732227301020799 11;0.0387882858428528 20;0.5251831581181959 24;0.5448253036908247 35;0.5506328348223417 41;0.5621956151097101 50;0.4436600617054612 58;0.4955814875740714 62;0.5824477331259302 69;0.5980562707922168 70;0.6027461791692761 76;0.5486559755566299 78;0.6063533254843767 83;0.5699511089035966 86;0.5796461986644298 91;0.5825196458053552 94;0.5995520974270262 99;0.5524377086043963 102;0.5576557167225646 108;0.5946712400905256 116;0.5696829899813133 121
3 3 LEFT;0.5981641604195764 9;0.8500588814598619 26;0.7394664559951613 40;0.7845780752589658 53;0.7641002617066439 65;0.8394563225855378 72;0.8070954510933043 89;0.6948603794647654 98;0.8424206844433293 111;0.8290338370694251 127;0.8359616653034422 134;0.8240104346205787 148;0.8272666961826934 160;0.8464412961907295 174;0.832438464522614 193;0.8084195754573111 211;0.8356021939305881 220;0.8161772313746214 236;0.825629485461058 244;0.8222426548402921 257;0.8114657320623334 273
1 1 LEFT;0.5176122810265308 15;0.07605505712011457 17;0.5671172582761177 27;0.6345398759505727 37;0.6186463883956012 43;0.5768593959890912 50;0.6439016705217578 54;0.6468419493643489 61;0.5820548981492121 66;0.6510821375213317 69;0.6611398419062765 73;0.6420680842073071 79;0.6563819509541052 90;0.5931148767093137 99;0.6375976102685683 103;0.6526741373573104 106;0.6523874682474928 108;0.6633070358513276 119;0.6540659394577288 128;0.6395486842435296 137;0.6487075207288772 142
3 3 UP;0.09127739189632122 5;0.8064189737364977 18;-0.4473583090129294 33;0.1696082894084654 45;0.365497652013577 58;0.8677230322299846 71;0.5378141443138096 81;0.5248291600871401 97;0.34593436736069944 114;0.7354278738191514 126;0.8098440173404801 143;0.7382771925003451 160;0.6112111352487327 175;0.7742465972882204 184;0.8125666522002334 197;0.4451903647697923 207;0.38035461200778403 220;0.7058961917649176 232;0.48726455430295806 249;0.8256870627209026 260;0.6457959420868207 279
1 1 UP;0.09243085385526689 20;0.6041466856249743 22;0.5692864858861338 34;0.6213640667226739 42;0.54966599518412 50;0.6720806549850794 57;0.6655313726124397 61;0.6521951994104352 67;0.6373695802217563 74;0.6666796218394264 80;0.6610189183027826 82;0.612627064999216 85;0.6436258851114561 94;0.6204135443111567 103;0.6281540295121502 114;0.6157231110782598 128;0.6483084120752297 131;0.6644239075268817 138;0.6450913117388881 143;0.6140520175061167 150;0.6280905255828658 157
3 2 UP;0.8347489439970535 20;0.8013978530704035 35;0.664871845411194 61;0.8255692046605687 80;0.7562137069320598 99;0.8472120200334469 113;0.7659900833808498 120;0.792554944519994 137;0.8307584111961582 142;0.7932159800269779 151;0.8208454881380628 165;0.8165587098028557 179;0.8144796178155381 187;0.8288880856098257 196;0.8063428843753655 211;0.8324718223007085 218;0.8313071312213383 232;0.8240250433293127 244;0.8282265955596001 252;0.8186970914268541 264;0.8451455371210375 276
1 4 RIGHT;-0.2812607224325675 9;-0.9710564824476309 12;0.12028114975033141 19;0.13245257801223276 20;0.4696552798213486 21;0.030525168946310854 25;0.46969958040753773 28;0.08490888739078462 34;-0.8486909534970215 41;0.24136108861539507 44;0.39912475928907826 47;0.3425420483429041 51;0.37286404150358426 52;0.37286404150358426 52;-0.40545598073047867 53;0.07037273346906037 54;0.37182949474306115 56;-0.41773902958730746 60;-0.41773902958730746 60;-0.3918571801979357 66;0.031701185457435 69
3 1 LEFT;0.5335995090955137 37;0.7454999093270641 45;0.6405321136167502 59;0.7460491049751753 70;0.7129216510325396 79;0.7790932901740072 89;0.7248837364876572 98;0.7715705870556467 109;0.730154867359379 120;0.7727343160882724 133;0.7579055685935063 144;0.762323272653531 157;0.7608690117007175 165;0.7697148184649946 181;0.7621434761782958 192;0.752525370525256 208;0.765042098720703 222;0.7675247880375738 226;0.7579766028923162 239;0.7484131369031918 253;0.7616302106515882 261
3 1 UP;0.2635851191423733 13;0.5634712177233354 15;0.6297771056823844 32;0.6439690203095887 51;0.6700955013047161 61;0.7022478116930032 69;0.706689657270328 79;0.7032496593906351 92;0.713044416145569 106;0.6516129825141845 114;0.6707006991874953 124;0.7156243015992216 130;0.6953236694048127 146;0.6932257297575746 157;0.7103736342771573 166;0.6976496937903999 183;0.7249775767730305 188;0.7048428549014646 197;0.7076231498734998 207;0.7128137169315546 222;0.7016072123517972 230
1 4 DOWN;-1.04 4;-1.04 10;-1.04 12;-1.04 13;-1.04 15;-1.04 20;-1.04 22;-1.04 26;-1.04 30;-1.04 33;-1.04 34;-1.04 37;-1.04 40;-1.04 43;-1.04 47;-1.04 49;-1.04 51;-1.04 55;-1.04 56;-1.04 59;-1.04 62
1 2 DOWN;-0.017757945788211105 12;0.3305120279882777 18;0.5530859161309807 22;0.38322674680221613 30;0.561102433071851 33;0.5549786060936914 40;0.5536335349763755 45;0.5657248945988184 53;0.5774750819887692 57;0.5968806337515226 62;0.6072931397194292 64;0.6146939954715769 71;0.6224487338303847 73;0.575928357271527 79;0.58748867008616 80;0.5877391050179882 85;0.5458880773743211 90;0.6059981914643965 98;0.602424622754383 107;0.6051392603385201 112;0.5865119711789321 115
1 3 DOWN;0.8791250034583792 28;-0.06312224907541886 71;-0.04808905885512704 80;0.8098985155376011 86;0.03767693150857654 96;0.48698045228967 98;0.4769821710519817 126;0.5245645594594939 131;0.36471378813634137 135;0.3975268076932974 144;0.2687552187163745 147;0.36358178290826126 150;0.7262866933475565 155;0.2714640284480182 162;0.2714640284480182 162;0.4257597521738453 163;0.4206554805980196 181;0.2805067802014818 198;0.4821271059823626 201;0.6789466372737222 204;0.509254162488324 233
3 2 DOWN;0.7606383473426744 20;0.7785598968223767 36;0.6503269564211394 55;0.8008872704130074 66;0.7678191972972618 92;0.7953585700229168 109;0.7628045657021312 126;0.7911523943925455 137;0.8224170109697878 145;0.8248090708017782 162;0.8387463400833217 171;0.8136851206765158 185;0.8210858137274378 195;0.8069587180724622 205;0.8320006841740945 219;0.8222797434216617 228;0.8029825272767327 245;0.7789902001182889 257;0.8248996905313222 273;0.8251326061443703 285;0.8274856295621023 295
1 1 DOWN;0.6862129403937135 43;0.7350714475506411 72;0.5863742904070216 127;0.6931430706003044 193;0.6794071448443559 257;0.7154917472767133 316;0.7112212872233701 367;0.6926658932906105 431;0.6975561945021191 504;0.708327414827835 570;0.6940547772029055 646;0.7206797506149273 712;0.7108039452491985 789;0.6971247706915583 855;0.6884174976427107 926;0.7026643111015147 1000;0.7070740146269378 1049;0.7020805204936346 1112;0.70385828129997 1185;0.6775937681869081 1260;0.7027054392434335 1306
3 3 DOWN;0.9173720060330239 13;0.8096250502788106 25;0.6950745966256873 36;0.8994060651242076 44;0.9064523613150975 57;0.8699808613657503 73;0.8891834894286061 93;0.91456064552505 104;0.9116901970782388 119;0.9123073772258682 134;0.907573410699738 145;0.8972981450759713 153;0.9156033850759578 165;0.8950369087656684 176;0.8646467524689283 188;0.9082288317617023 202;0.8811579334942864 219;0.8728179144101484 238;0.8839536530134757 255;0.881991273881049 261;0.8795614345960944 268
3 1 DOWN;0.5560745283212669 51;0.794757368913933 58;0.6750519518142957 79;0.714155750918804 90;0.7456969218391576 98;0.7995095933336432 110;0.7576249011558258 119;0.7605599248406437 129;0.7189086802556636 136;0.7440213461347278 142;0.7694669064356431 153;0.7765325187342279 155;0.7610556626094681 161;0.7566748812541472 166;0.7778698533592979 181;0.76552203196596 196;0.7759084926986406 206;0.7583858561712162 211;0.7555899575326716 224;0.7666713083771302 233;0.7611060925635456 241
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8260891706080197 65;0.8377894675182002 128;0.777292140866237 225;0.8243082924439493 322;0.8210148713595815 422;0.8287311458824751 519;0.7850775260350624 605;0.8023612834512889 710;0.8274882778772362 804;0.8277263917843266 907;0.8266480303075446 1006;0.8179070254723583 1100;0.8026445767417101 1202;0.8323593581235632 1310;0.8214281070075761 1412;0.8192242912112698 1512;0.809180699832052 1607;0.8079710178373964 1706;0.805644505455093 1811;0.8257258105410629 1907;0.8178266867103314 1987
2 3 RIGHT;-1.04 5;-1.04 7;-1.04 11;-1.04 12;-1.04 17;-1.04 18;-1.04 22;-1.04 26;-1.04 30;-0.8851993344977975 33;-1.03268019827539 36;-1.038952966505887 38;-1.03959400742065 39;-1.039936025411739 41;-1.0399893065190269 43;0.08956589823073768 45;-1.038212287259306 53;-0.6893746782505021 57;-0.9983722145477326 60;-1.029507045815751 62;-1.0396160275222142 67
2 1 RIGHT;0.4822628250668615 32;0.6527027242624461 41;0.5790536116647818 48;0.6690788742257009 59;0.6725809436028217 70;0.7276888516148375 77;0.697832298598107 84;0.7099571450536757 93;0.6944785218903363 101;0.6873719816646856 111;0.6988072339654801 125;0.7239774145891509 135;0.7206225376525748 142;0.703561281511033 152;0.7102947980738595 165;0.7118163104311303 171;0.688111777862194 180;0.7015255048657523 188;0.7120332420038841 192;0.6825643088061486 200;0.7127416064546721 205
2 3 LEFT;0.7240924325813703 13;0.7726394472246311 44;0.29911228866861006 52;0.3353662819684586 60;0.7304158463167996 62;0.8586773286081761 66;0.43585043678755075 74;-0.15025518743145028 82;0.309651152511341 84;0.5368591853902642 85;-0.044317773835948815 87;0.612699235226067 90;0.7551022466172574 92;0.7264687765508886 97;0.46478571705816396 100;0.6966068550067794 102;0.8264435753797331 107;0.573525999217652 116;0.35759223760474995 120;0.21053985400380715 122;0.4353486099137182 131
2 1 LEFT;0.48852396242305735 30;0.6878304953820421 36;0.5838150547344643 46;0.5797955572098734 54;0.6918909565570329 64;0.732417503325057 70;0.7187053644321878 80;0.6932373382166771 88;0.6902583607016731 97;0.7075006174981558 104;0.6724169964299314 116;0.7348043885624344 122;0.7081106929296905 129;0.712024382691441 140;0.6931374076509295 149;0.6657568670771961 155;0.713429269768449 161;0.6786708987409438 168;0.7148825662060276 174;0.7069104540275508 183;0.7125520506478508 189
2 3 UP;-0.05886057194282976 7;0.4890925643988412 11;0.012261014565691841 13;0.49536451354210315 16;-0.6601869670147776 21;0.15078557501745282 22;0.5514298811476925 30;0.059570960023843156 34;0.48587016722825255 37;0.6602870813279558 40;0.39879089592841666 42;0.2553946686501951 44;0.5268222582284114 49;-0.307740901668905 53;0.3513298878370705 55;0.4778165228350118 60;0.4098319472925794 63;0.44652510192807215 64;0.4172174290109002 66;0.5169795640658392 69;0.48105229749218975 73
2 1 UP;0.2736310439940716 23;0.572720888563323 31;0.5568859802437577 40;0.628103919159525 52;0.6231150730678731 60;0.5872366084223423 66;0.6786701927597976 74;0.6085375636545233 81;0.591939492108097 93;0.6605796173912201 98;0.6516772096892524 107;0.6182250211310032 112;0.6588499696463549 120;0.6518899248585583 132;0.6217819926994574 142;0.6640124780790049 150;0.6502972736288797 154;0.6441579477122157 160;0.6503299792866984 167;0.616913210968508 181;0.5841157276789214 186
2 3 DOWN;0.7875255035504228 35;0.914804677574675 102;0.8695656581222434 140;0.6518530312632902 170;0.8881322608913769 200;0.9080366153246957 229;0.7559860355412944 273;0.6941897846372665 301;0.8039319452023893 329;0.8875081532205625 354;0.9017008593971894 380;0.8517966321248034 414;0.8745790491664783 447;0.9004383229747834 476;0.880801814767231 500;0.8134458232295393 519;0.8827870774775599 564;0.8183041374756761 598;0.8669468175583147 624;0.8928115674013527 652;0.8494133277810795 713
2 1 DOWN;0.7511742941851164 49;0.7960884518619473 92;0.6939069824467665 167;0.7218862529936279 254;0.7482087803683007 335;0.7590204261422081 415;0.7424730070885723 484;0.7481542922423602 570;0.760433379972665 655;0.75683880630659 742;0.7608010875159207 837;0.7645435187088889 919;0.756654975497899 1014;0.7695105372492418 1100;0.766156197546342 1186;0.7482003101671342 1281;0.7603459926423997 1353;0.7580545233228074 1437;0.7624691130407424 1529;0.7646416382065087 1619;0.7613736508386996 1685
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
